76	235
91	235
106	235
121	235
136	235
151	235
196	235
211	235
226	235
241	235
219	221
234	221
114	221
129	221
46	235
61	235
166	235
181	235
159	221
174	221
54	221
69	221
84	221
189	221
204	221
166	209
181	209
196	209
211	209
144	221
99	221
76	209
91	209
106	209
121	209
136	209
151	209
144	195
159	195
174	195
189	195
271	235
286	235
301	235
279	221
294	221
309	221
256	235
249	221
264	221
1	235
16	235
31	235
10	221
24	221
39	221
84	195
99	195
114	195
241	209
256	209
271	209
249	195
264	195
226	209
151	183
166	183
181	183
16	209
31	209
46	209
61	209
39	195
54	195
69	195
46	183
61	183
76	183
91	183
204	195
219	195
234	195
226	183
241	183
256	183
286	209
301	209
279	195
294	195
309	195
129	195
121	183
136	183
144	169
159	169
174	169
189	169
196	183
211	183
234	169
249	169
264	169
271	183
286	183
279	169
1	209
10	195
24	195
16	183
31	183
54	169
69	169
84	169
151	157
166	157
301	183
294	169
309	169
256	157
271	157
286	157
301	157
204	169
219	169
1	183
106	183
99	169
114	169
129	169
76	157
91	157
106	157
159	143
61	157
196	157
211	157
226	157
241	157
234	143
264	143
294	143
121	157
136	157
10	169
24	169
39	169
69	143
84	143
99	143
114	143
129	143
1	157
16	157
31	157
46	157
10	143
24	143
39	143
54	143
181	157
174	143
189	143
204	143
219	143
144	143
151	130
166	130
181	130
196	130
61	130
76	130
91	130
106	130
249	143
279	143
16	130
309	143
31	130
46	130
159	118
174	118
189	118
226	130
241	130
256	130
121	130
136	130
114	118
129	118
144	118
211	130
219	118
234	118
249	118
1	130
121	104
136	104
151	104
166	104
69	118
84	118
99	118
10	118
24	118
39	118
54	118
76	104
91	104
106	104
204	118
271	130
286	130
301	130
264	118
279	118
294	118
309	118
181	104
196	104
211	104
226	104
241	104
129	92
144	92
159	92
174	92
189	92
204	92
136	78
151	78
166	78
181	78
234	92
249	92
256	104
271	104
286	104
31	104
46	104
61	104
1	104
16	104
84	92
99	92
114	92
219	92
301	104
279	92
294	92
309	92
91	78
106	78
121	78
114	66
129	66
144	66
159	66
174	66
24	92
39	92
54	92
69	92
211	78
226	78
241	78
10	92
46	78
61	78
76	78
264	92
1	78
16	78
31	78
196	78
189	66
204	66
219	66
234	66
181	52
196	52
211	52
226	52
256	78
271	78
286	78
54	66
69	66
84	66
99	66
10	66
24	66
39	66
91	52
106	52
61	52
76	52
121	52
136	52
301	78
249	66
264	66
279	66
294	66
241	52
256	52
271	52
309	66
